% 1. Title: POSTag dataset
%
% 2. Sources: UD_Indonesian
%
@RELATION postag
@ATTRIBUTE form NUMERIC
@ATTRIBUTE prevpostag NUMERIC
@ATTRIBUTE class {_,PROPN,AUX,DET,NOUN,PRON,VERB,ADP,PUNCT,ADV,CCONJ,SCONJ,NUM,ADJ,PART,SYM,X}
@DATA
7,10,ADP
2177,7,VERB
127,6,ADP
2178,7,PROPN
132,1,PUNCT
23,8,CCONJ
2179,10,PROPN
135,1,PUNCT
16,8,PUNCT
2089,8,PRON
2180,5,ADJ
2,13,AUX
1428,2,NOUN
1499,4,NOUN
10,4,PUNCT
2181,8,PUNCT
824,8,DET
2182,3,NOUN
1136,4,VERB
199,6,ADP
1428,7,NOUN
107,4,DET
2183,3,ADP
2184,7,NOUN
2185,4,NOUN
132,4,PUNCT
2186,8,NOUN
135,4,PUNCT
10,8,PUNCT
2187,8,ADP
1922,7,NOUN
5,4,PRON
2188,5,VERB
2189,6,NOUN
16,4,PUNCT
2190,8,NOUN
5,4,PRON
427,5,ADV
177,9,ADJ
1640,13,ADP
2191,7,PROPN
38,1,ADP
824,7,DET
1607,3,NOUN
2192,4,NOUN
2193,4,PROPN
2194,1,PROPN
10,1,PUNCT
1342,8,PROPN
1220,1,ADV
1210,9,VERB
2191,6,PROPN
111,1,ADP
2140,7,VERB
2195,6,NOUN
16,4,PUNCT
2196,8,ADV
2197,9,PROPN
2198,1,PROPN
2199,1,VERB
181,6,ADP
2200,7,NOUN
202,4,ADP
36,7,DET
102,3,ADV
905,9,VERB
2201,6,ADJ
938,13,CCONJ
144,10,DET
202,3,ADP
2202,7,NOUN
308,4,ADV
1592,9,VERB
10,6,PUNCT
309,8,NOUN
36,4,DET
120,3,VERB
1263,6,NOUN
2203,4,NOUN
2198,4,PROPN
529,1,ADP
2204,7,NOUN
27,4,CCONJ
587,10,NOUN
172,4,PUNCT
587,8,NOUN
2205,4,ADJ
16,13,PUNCT
56,8,ADP
5,7,PRON
2206,5,NOUN
2207,4,VERB
111,6,ADP
2208,7,ADV
2209,9,VERB
2210,6,NOUN
67,4,DET
1071,3,NOUN
10,4,PUNCT
2211,8,PROPN
2212,1,ADV
1188,9,VERB
2213,6,NOUN
1241,4,NOUN
889,4,ADJ
111,13,ADP
67,7,DET
47,3,NOUN
70,4,ADP
1307,7,NOUN
10,4,PUNCT
5,8,PRON
197,5,DET
81,3,DET
2214,3,NOUN
2215,4,VERB
2216,6,NOUN
1874,4,NOUN
2217,4,NOUN
2218,4,PROPN
16,1,PUNCT
2219,8,PROPN
132,1,PUNCT
2220,8,PROPN
135,1,PUNCT
649,8,VERB
104,6,NOUN
2221,4,NOUN
46,4,ADP
2222,7,PROPN
284,1,PUNCT
2223,8,PROPN
2224,1,PROPN
308,1,ADV
2225,9,X
529,16,VERB
2226,6,NOUN
27,4,CCONJ
2227,10,NOUN
529,4,VERB
2228,6,NOUN
2229,4,NOUN
16,4,PUNCT
2230,8,PROPN
196,1,VERB
1680,6,NOUN
5,4,PRON
2231,5,VERB
2232,6,ADP
2233,7,PROPN
2234,1,PROPN
27,1,CCONJ
2235,10,PROPN
2236,1,PROPN
10,1,PUNCT
5,8,PRON
2237,5,VERB
169,6,ADP
2238,7,NUM
16,12,PUNCT
882,8,ADP
2239,7,NOUN
2240,4,NUM
172,12,PUNCT
237,8,NUM
2241,12,PROPN
114,1,ADP
2242,7,PROPN
46,1,ADP
830,7,NUM
450,12,PROPN
10,1,PUNCT
2243,8,PROPN
2244,1,VERB
59,6,NUM
2245,12,NOUN
10,4,PUNCT
1966,8,VERB
2241,6,PROPN
1100,1,VERB
2246,6,NUM
2239,12,NOUN
2247,4,ADJ
2248,13,ADV
172,9,PUNCT
2249,8,ADV
27,9,CCONJ
2239,10,NOUN
119,4,NUM
2250,12,NOUN
7,4,ADP
2251,7,PROPN
2252,1,PROPN
169,1,ADP
47,7,NOUN
2253,4,NUM
16,12,PUNCT
882,8,ADP
2039,7,NUM
10,12,PUNCT
2254,8,PROPN
2255,1,PROPN
2256,1,PROPN
2257,1,PROPN
188,1,VERB
2258,6,NUM
2259,12,VERB
1762,6,ADJ
27,13,CCONJ
2260,10,NUM
2259,12,VERB
1107,6,ADJ
10,13,PUNCT
2261,8,VERB
1658,6,NOUN
1461,4,NOUN
2262,4,NOUN
2263,4,ADP
2264,7,NUM
587,12,NOUN
16,4,PUNCT
2265,8,ADP
938,7,CCONJ
107,10,DET
10,3,PUNCT
219,8,SCONJ
1553,11,NOUN
5,4,PRON
1908,5,ADV
2266,9,VERB
111,6,ADP
789,7,VERB
2267,6,NOUN
27,4,CCONJ
2268,10,NOUN
10,4,PUNCT
102,8,PART
252,14,ADJ
105,13,ADV
2269,9,VERB
38,6,ADP
2270,7,NOUN
16,4,PUNCT
2028,8,NOUN
36,4,DET
2271,3,VERB
46,6,ADP
47,7,NOUN
1047,4,NUM
27,12,CCONJ
2116,10,VERB
38,6,ADP
2272,7,PROPN
10,1,PUNCT
2273,8,PROPN
2274,1,PROPN
2275,1,PROPN
27,1,CCONJ
2276,10,PROPN
2277,1,PROPN
2278,1,PROPN
16,1,PUNCT
2279,8,PROPN
2280,1,PROPN
2,1,AUX
3,2,DET
2281,3,NOUN
769,4,ADJ
1465,13,ADJ
2282,13,PROPN
5,1,PRON
7,5,VERB
2283,6,VERB
111,6,ADP
2284,7,VERB
179,6,NOUN
75,4,ADP
742,7,DET
2285,3,NOUN
1465,4,ADJ
16,13,PUNCT
2286,8,PROPN
2287,1,PROPN
2,1,AUX
2288,2,NOUN
1557,4,NOUN
5,4,PRON
871,5,ADV
2289,9,VERB
1150,6,NOUN
627,4,NOUN
1241,4,NOUN
2290,4,PROPN
2291,1,PROPN
2292,1,PROPN
169,1,ADP
47,7,NOUN
2293,4,NUM
16,12,PUNCT
2294,8,PROPN
16,1,PUNCT
2295,8,PROPN
2296,1,PROPN
2297,1,PROPN
2298,1,PROPN
132,1,PUNCT
135,8,PUNCT
2,8,AUX
2299,2,PROPN
2300,1,PROPN
7,1,ADP
2301,7,PROPN
2300,1,PROPN
2302,1,PROPN
16,1,PUNCT
2303,8,PROPN
2304,1,PROPN
196,1,VERB
2305,6,NOUN
2306,4,ADJ
10,13,PUNCT
111,8,ADP
2307,7,VERB
228,6,NOUN
2308,4,NUM
2309,12,PROPN
300,1,SYM
2310,15,NOUN
16,4,PUNCT
2311,8,PROPN
36,1,DET
851,3,ADV
201,9,VERB
169,6,ADP
2201,7,ADJ
27,13,CCONJ
1870,10,NOUN
5,4,PRON
119,5,ADJ
2,13,AUX
2312,2,PROPN
2313,1,PROPN
10,1,PUNCT
5,8,PRON
871,5,ADV
264,9,VERB
957,6,NOUN
690,4,NOUN
2314,4,PROPN
16,1,PUNCT
2315,8,ADV
10,9,PUNCT
1710,8,ADJ
2316,13,NOUN
107,4,DET
2317,3,ADJ
27,13,CCONJ
102,10,PART
2318,14,VERB
923,6,NOUN
284,4,PUNCT
1481,8,NOUN
2319,4,NOUN
657,4,DET
7,3,ADP
1500,7,PROPN
2320,1,PROPN
132,1,PUNCT
2321,8,ADV
2322,9,PROPN
10,1,PUNCT
1219,8,SCONJ
29,11,DET
587,3,NOUN
264,4,VERB
197,6,DET
2323,3,VERB
264,6,VERB
2320,6,PROPN
135,1,PUNCT
47,8,NOUN
2324,4,NUM
2325,12,VERB
2326,6,NOUN
2327,4,NOUN
7,4,ADP
2328,7,PROPN
16,1,PUNCT
2329,8,DET
172,3,PUNCT
2330,8,DET
2331,3,NOUN
1327,4,NOUN
5,4,PRON
201,5,VERB
188,6,VERB
2184,6,NOUN
2332,4,NOUN
27,4,CCONJ
2333,10,NOUN
5,4,PRON
984,5,ADJ
16,13,PUNCT
2334,8,PROPN
1951,1,PART
1767,14,VERB
2335,6,NOUN
337,4,ADJ
394,13,DET
2336,3,NOUN
1255,4,ADJ
5,13,PRON
2337,5,VERB
2338,6,NOUN
1255,4,ADJ
16,13,PUNCT
2339,8,PROPN
2,1,AUX
4,2,NOUN
7,4,ADP
8,7,NOUN
2340,4,PROPN
10,1,PUNCT
2341,8,PROPN
10,1,PUNCT
13,8,PROPN
14,1,PROPN
10,1,PUNCT
15,8,PROPN
16,1,PUNCT
2342,8,NOUN
82,4,NOUN
31,4,SCONJ
1255,11,ADJ
2343,13,ADJ
2344,13,ADJ
10,13,PUNCT
27,8,CCONJ
1513,10,ADP
2345,7,NOUN
2343,4,ADJ
1255,13,ADJ
86,13,ADP
2346,7,NOUN
16,4,PUNCT
1018,8,PROPN
2347,1,PROPN
2348,1,SCONJ
2349,11,VERB
2350,6,NOUN
337,4,ADJ
7,13,ADP
2351,7,PROPN
10,1,PUNCT
5,8,PRON
6,5,VERB
7,6,ADP
2352,7,NOUN
2353,4,NOUN
2354,4,PROPN
2355,1,PROPN
2356,1,VERB
24,6,ADP
2350,7,NOUN
5,4,PRON
55,5,NOUN
10,4,PUNCT
2357,8,PROPN
16,1,PUNCT
1657,8,NOUN
36,4,DET
196,3,VERB
81,6,NUM
199,12,ADP
1726,7,NUM
4,12,NOUN
27,4,CCONJ
774,10,NOUN
5,4,PRON
775,5,VERB
7,6,ADP
8,7,PROPN
2358,1,PROPN
16,1,PUNCT
2359,8,SYM
2064,15,PROPN
2360,1,PROPN
27,1,CCONJ
2361,10,PROPN
2362,1,PROPN
2359,1,SYM
2064,15,PROPN
2362,1,PROPN
2363,1,PROPN
2359,1,SYM
2064,15,PROPN
2362,1,PROPN
2364,1,PROPN
2359,1,SYM
2363,15,PROPN
153,1,PROPN
27,1,CCONJ
2365,10,PROPN
2362,1,PROPN
2359,1,SYM
2064,15,PROPN
2366,1,PROPN
2359,1,SYM
2064,15,PROPN
2367,1,PROPN
2359,1,SYM
2064,15,PROPN
2368,1,PROPN
2359,1,SYM
2064,15,PROPN
2369,1,PROPN
2359,1,SYM
2363,15,PROPN
2370,1,PROPN
27,1,CCONJ
2371,10,PROPN
2372,1,PROPN
2362,1,PROPN
2359,1,SYM
2363,15,PROPN
2370,1,PROPN
27,1,CCONJ
2371,10,PROPN
2372,1,PROPN
2373,1,PROPN
2362,1,PROPN
2374,1,PROPN
172,1,PUNCT
2375,8,NOUN
107,4,DET
102,3,PART
1312,14,ADV
2376,9,VERB
2377,6,NOUN
1094,4,NOUN
2378,4,PROPN
16,1,PUNCT
633,8,CCONJ
98,10,PROPN
2379,1,PROPN
1413,1,PROPN
7,1,ADP
96,7,NOUN
2380,4,NOUN
99,4,PROPN
14,1,PROPN
27,1,CCONJ
2381,10,VERB
1428,6,NOUN
7,4,ADP
1114,7,PROPN
16,1,PUNCT
2382,8,PROPN
1269,1,PART
196,14,VERB
2383,6,NOUN
2384,4,NOUN
75,4,ADP
2385,7,PROPN
27,1,CCONJ
1217,10,ADV
405,9,VERB
172,6,PUNCT
2386,8,VERB
127,6,ADP
197,7,DET
81,3,DET
1698,3,NOUN
2387,4,PROPN
5,1,PRON
2388,5,VERB
75,6,ADP
2389,7,PROPN
16,1,PUNCT
2390,8,ADV
2391,9,PROPN
10,1,PUNCT
2392,8,PROPN
27,1,CCONJ
2393,10,PROPN
2394,1,VERB
554,6,NOUN
2395,4,NOUN
2396,4,ADJ
657,13,DET
284,3,PUNCT
2397,8,PROPN
2398,1,PROPN
132,1,PUNCT
2398,8,PROPN
2399,1,PROPN
135,1,PUNCT
492,8,VERB
2400,6,NOUN
1202,4,ADP
2401,7,NOUN
2402,4,PROPN
5,1,PRON
2403,5,VERB
111,6,ADP
733,7,VERB
2404,6,NOUN
2405,4,ADV
2406,9,NOUN
5,4,PRON
828,5,ADV
2407,9,VERB
2408,6,NOUN
252,4,ADJ
16,13,PUNCT
2409,8,NOUN
2410,4,NOUN
196,4,VERB
1327,6,NOUN
24,4,ADP
2411,7,NOUN
2412,4,NOUN
2413,4,ADJ
7,13,ADP
561,7,NOUN
16,4,PUNCT
882,8,ADP
2414,7,NOUN
2415,4,ADJ
46,13,ADP
742,7,DET
2416,3,NOUN
2417,4,NOUN
2418,4,NOUN
2402,4,PROPN
10,1,PUNCT
2419,8,PROPN
2420,1,PROPN
2421,1,PROPN
2422,1,PROPN
2423,1,VERB
264,6,VERB
197,6,DET
81,3,DET
2424,3,NOUN
2425,4,NOUN
2426,4,ADJ
16,13,PUNCT
2427,8,PROPN
2428,1,ADV
2429,9,VERB
2430,6,NOUN
2431,4,NOUN
7,4,ADP
711,7,PROPN
172,1,PUNCT
2432,8,NOUN
2433,4,ADP
2434,7,VERB
1317,6,ADP
1874,7,NOUN
2435,4,NOUN
1108,4,ADV
16,9,PUNCT
2436,8,PROPN
2437,1,PROPN
2438,1,VERB
127,6,ADP
1680,7,NOUN
24,4,ADP
1287,7,NOUN
810,4,PROPN
2439,1,PROPN
2440,1,PROPN
2441,1,PROPN
2442,1,PROPN
2443,1,PROPN
27,1,CCONJ
2444,10,VERB
38,6,ADP
1120,7,NUM
2250,12,NOUN
1607,4,NOUN
16,4,PUNCT
2445,8,NOUN
36,4,DET
349,3,ADV
1894,9,VERB
46,6,ADP
2446,7,NOUN
10,4,PUNCT
123,8,NOUN
10,4,PUNCT
27,8,CCONJ
2447,10,NOUN
16,4,PUNCT
2448,8,NOUN
2449,4,NOUN
36,4,DET
53,3,ADV
359,9,VERB
932,6,ADP
547,7,NOUN
10,4,PUNCT
27,8,CCONJ
871,10,ADV
1637,9,VERB
2450,6,NOUN
67,4,DET
68,3,ADV
38,9,ADP
2451,7,NOUN
172,4,PUNCT
2451,8,NOUN
2452,4,ADJ
10,13,PUNCT
1792,8,VERB
38,6,ADP
2453,7,PROPN
2454,1,PROPN
172,1,PUNCT
2455,8,PROPN
16,1,PUNCT
2456,8,PROPN
16,1,PUNCT
2457,8,PROPN
132,1,PUNCT
2458,8,PROPN
2459,1,PROPN
135,1,PUNCT
427,8,ADV
2460,9,VERB
2461,6,NOUN
2462,4,NOUN
588,4,NOUN
2463,4,NOUN
107,4,DET
27,3,CCONJ
2209,10,VERB
2464,6,NOUN
148,4,NOUN
1357,4,VERB
27,6,CCONJ
2465,10,NOUN
588,4,NOUN
2466,4,PROPN
2467,1,PROPN
132,1,PUNCT
2467,8,PROPN
2468,1,PROPN
135,1,PUNCT
16,8,PUNCT
1415,8,ADP
2469,7,NOUN
10,4,PUNCT
2470,8,PROPN
132,1,PUNCT
2471,8,PROPN
135,1,PUNCT
932,8,ADP
2472,7,ADJ
1546,13,VERB
2473,6,NOUN
23,4,CCONJ
2250,10,NOUN
16,4,PUNCT
882,8,ADP
47,7,NOUN
2474,4,NUM
10,12,PUNCT
2475,8,PROPN
2476,1,PROPN
2477,1,PROPN
27,1,CCONJ
2475,10,PROPN
2476,1,PROPN
2478,1,PROPN
2479,1,VERB
264,6,VERB
81,6,NUM
27,12,CCONJ
807,10,VERB
2475,6,PROPN
2480,1,PROPN
2481,1,PROPN
27,1,CCONJ
2475,10,PROPN
2476,1,PROPN
2477,1,PROPN
2482,1,VERB
2469,6,NOUN
264,4,VERB
2483,6,PROPN
2476,1,PROPN
2477,1,PROPN
16,1,PUNCT
2484,8,SCONJ
587,11,NOUN
2485,4,VERB
10,6,PUNCT
2486,8,NOUN
7,4,ADP
2487,7,VERB
2488,6,ADJ
125,13,ADV
1720,9,ADJ
16,13,PUNCT
2489,8,NOUN
2490,4,NOUN
10,4,PUNCT
2491,8,NOUN
2492,4,NOUN
2493,4,NOUN
7,4,ADP
2494,7,PROPN
2495,1,PROPN
2496,1,PROPN
2497,1,PROPN
27,1,CCONJ
2498,10,NOUN
2499,4,ADJ
7,13,ADP
920,7,PROPN
2500,1,PROPN
7,1,ADP
2501,7,PROPN
5,1,PRON
1048,5,VERB
7,6,ADP
2502,7,PROPN
10,1,PUNCT
2503,8,PROPN
10,1,PUNCT
1965,8,VERB
111,6,ADP
2504,7,VERB
2505,6,NOUN
72,4,ADP
2506,7,NOUN
36,4,DET
16,3,PUNCT
2507,8,ADJ
280,13,PRON
2508,5,VERB
38,6,ADP
2509,7,NOUN
1342,4,PROPN
1134,1,VERB
667,6,PROPN
16,1,PUNCT
2510,8,PROPN
16,1,PUNCT
484,8,ADP
273,7,ADJ
2511,13,NOUN
2512,4,NOUN
10,4,PUNCT
46,8,ADP
47,7,NOUN
2513,4,NUM
10,12,PUNCT
53,8,ADV
349,9,VERB
2514,6,VERB
1485,6,NUM
2515,12,NOUN
2516,4,PROPN
5,1,CCONJ
2517,10,VERB
941,6,NOUN
2518,4,NOUN
595,4,NOUN
1680,4,NOUN
1999,4,NOUN
1444,4,NOUN
2519,4,ADJ
2520,13,PROPN
172,1,PUNCT
2521,8,PROPN
2522,1,PROPN
2523,1,PROPN
132,1,PUNCT
2524,8,PROPN
135,1,PUNCT
16,8,PUNCT
2525,8,NOUN
2526,4,NOUN
427,4,ADV
1707,9,VERB
1017,6,SCONJ
1705,11,VERB
2527,6,PROPN
1614,1,PROPN
16,1,PUNCT
2528,8,NOUN
199,4,ADP
691,7,NOUN
5,4,PRON
1134,5,VERB
2529,6,PROPN
2530,1,PROPN
2531,1,PROPN
337,1,ADV
2532,9,VERB
1513,6,ADP
2533,7,NOUN
1637,4,VERB
10,6,PUNCT
27,8,CCONJ
2534,10,NOUN
2535,4,VERB
1588,6,SCONJ
2536,11,NOUN
657,4,DET
1217,3,ADV
41,9,VERB
111,6,ADP
162,7,NOUN
2537,4,NOUN
5,4,PRON
1062,5,NOUN
2538,4,VERB
75,6,ADP
2539,7,NOUN
2540,4,ADJ
5,13,PRON
2541,5,VERB
217,6,ADJ
16,13,PUNCT
2542,8,NOUN
36,4,DET
2543,3,VERB
2544,6,NOUN
2499,4,ADJ
7,13,ADP
72,7,NOUN
2545,4,PROPN
27,1,CCONJ
2546,10,PROPN
1219,1,SCONJ
1217,11,ADV
335,9,VERB
2547,6,NOUN
2548,4,NOUN
2549,4,NOUN
27,4,CCONJ
2550,10,NOUN
2545,4,PROPN
16,1,PUNCT
2551,8,PROPN
2552,1,VERB
7,6,ADP
413,7,NOUN
2553,4,ADJ
16,13,PUNCT
2554,8,ADV
280,9,PRON
320,5,VERB
127,6,ADP
1834,7,NOUN
2555,4,PROPN
169,1,ADP
1350,7,NUM
16,12,PUNCT
16,8,PUNCT
1293,8,PRON
427,5,ADV
2556,9,ADJ
27,13,CCONJ
2557,10,ADJ
10,13,PUNCT
2405,8,ADJ
355,13,ADP
2558,7,PROPN
16,1,PUNCT
790,8,NOUN
2559,4,NOUN
183,4,PROPN
2560,1,PROPN
2561,1,PROPN
202,1,NOUN
36,4,DET
584,3,VERB
2562,6,NOUN
2563,4,NOUN
59,4,NUM
2564,12,NOUN
5,4,PRON
2565,5,VERB
72,6,NOUN
2566,4,PROPN
132,1,PUNCT
2567,8,PROPN
135,1,PUNCT
27,8,CCONJ
2192,10,PROPN
2568,1,PROPN
132,1,PUNCT
2569,8,PROPN
207,1,ADP
2570,7,PROPN
135,1,PUNCT
16,8,PUNCT
2571,8,PROPN
172,1,PUNCT
2572,8,PROPN
2573,1,VERB
24,6,ADP
2574,7,PROPN
2575,1,PROPN
7,1,ADP
2576,7,NOUN
10,4,PUNCT
1013,8,NOUN
2577,4,PROPN
27,1,CCONJ
2578,10,PROPN
7,1,ADP
543,7,NOUN
10,4,PUNCT
27,8,CCONJ
416,10,PROPN
912,1,PROPN
913,1,PROPN
417,1,PROPN
2579,1,ADV
2580,9,VERB
118,6,ADV
587,9,NOUN
5,4,PRON
102,5,PART
2337,14,VERB
2581,6,NOUN
27,4,CCONJ
23,10,CCONJ
2582,10,VERB
46,6,ADP
32,7,PRON
938,5,ADP
2583,7,NOUN
32,4,PRON
23,5,CCONJ
2584,10,NOUN
5,4,PRON
2585,5,VERB
16,6,PUNCT
2586,8,PROPN
2,1,AUX
4,2,NOUN
7,4,ADP
8,7,NOUN
2587,4,PROPN
10,1,PUNCT
2588,8,PROPN
10,1,PUNCT
13,8,PROPN
1186,1,PROPN
10,1,PUNCT
15,8,PROPN
16,1,PUNCT
2589,8,PROPN
36,1,DET
2565,3,VERB
199,6,ADP
2590,7,NOUN
10,4,PUNCT
2591,8,NOUN
10,4,PUNCT
2592,8,NOUN
10,4,PUNCT
2593,8,NOUN
2594,4,NOUN
10,4,PUNCT
2595,8,NOUN
10,4,PUNCT
2596,8,NOUN
27,4,CCONJ
2597,10,NOUN
16,4,PUNCT
2598,8,VERB
7,6,ADP
416,7,PROPN
2599,1,PROPN
16,1,PUNCT
882,8,ADP
47,7,NOUN
2600,4,NOUN
2601,4,NUM
2602,12,PUNCT
275,8,NUM
10,12,PUNCT
2603,8,PROPN
1485,1,NUM
441,12,ADV
2604,9,VERB
1719,6,NOUN
690,4,NOUN
2605,4,VERB
2606,6,NUM
5,12,PRON
6,5,VERB
7,6,ADP
1115,7,PROPN
2607,1,PROPN
2608,1,PROPN
961,1,PROPN
2609,1,PROPN
16,1,PUNCT
94,8,NUM
1434,12,PROPN
1186,1,PROPN
2610,1,VERB
24,6,ADP
2611,7,PROPN
27,1,CCONJ
2612,10,NOUN
2613,4,PROPN
2614,1,PROPN
2615,1,PROPN
16,1,PUNCT
1758,8,SCONJ
2616,11,NOUN
239,4,ADJ
34,13,PRON
2617,5,VERB
24,6,ADP
2618,7,NOUN
46,4,ADP
2511,7,NOUN
2619,4,NOUN
23,4,CCONJ
2620,10,NOUN
2621,4,NOUN
10,4,PUNCT
219,8,SCONJ
2620,11,NOUN
394,4,DET
2622,3,NOUN
78,4,ADV
224,9,ADV
2623,9,VERB
2624,6,ADJ
16,13,PUNCT
2028,8,NOUN
119,4,ADJ
32,13,PRON
10,5,PUNCT
2625,8,PROPN
2626,1,PROPN
2627,1,PROPN
2628,1,PROPN
2629,1,PROPN
1872,1,VERB
46,6,ADP
47,7,NOUN
989,4,NUM
102,12,PART
2201,14,ADJ
1513,13,SCONJ
2630,11,VERB
2631,6,NOUN
24,4,ADP
2632,7,NOUN
2633,4,PROPN
2634,1,PROPN
2635,1,PROPN
16,1,PUNCT
2372,8,NOUN
36,4,DET
2636,3,VERB
38,6,ADP
2637,7,PROPN
2638,1,PROPN
10,1,PUNCT
394,8,DET
1807,3,NOUN
2639,4,NOUN
50,4,PROPN
10,1,PUNCT
577,8,ADP
47,7,NOUN
2640,4,NUM
132,12,PUNCT
24,8,ADP
67,7,DET
1263,3,NOUN
38,4,ADP
2638,7,PROPN
10,1,PUNCT
47,8,NOUN
2641,4,NUM
27,12,CCONJ
670,10,NUM
135,12,PUNCT
16,8,PUNCT
950,8,ADV
951,9,PART
952,14,NOUN
953,4,ADJ
36,13,DET
349,3,ADV
954,9,VERB
264,6,VERB
955,6,NOUN
284,4,PUNCT
882,8,ADP
2642,7,NUM
7,12,ADP
2643,7,PROPN
10,1,PUNCT
2644,8,PROPN
2296,1,PROPN
2645,1,PROPN
2646,1,VERB
27,6,CCONJ
1161,10,VERB
1162,6,NOUN
24,4,ADP
394,7,DET
2647,3,NOUN
27,4,CCONJ
2648,10,NOUN
5,4,PRON
520,5,ADV
2649,9,VERB
1103,6,NOUN
172,4,PUNCT
1103,8,NOUN
252,4,ADJ
10,13,PUNCT
2650,8,PROPN
2651,1,PROPN
172,1,PUNCT
2652,8,PROPN
132,1,PUNCT
788,8,NUM
172,12,PUNCT
2653,8,NUM
135,12,PUNCT
16,8,PUNCT
2607,8,PROPN
2654,1,PROPN
132,1,PUNCT
135,8,PUNCT
196,8,VERB
3,6,DET
2655,3,PROPN
7,1,ADP
72,7,NOUN
2656,4,NOUN
2657,4,PROPN
7,1,ADP
2658,7,PROPN
172,1,PUNCT
2659,8,PROPN
10,1,PUNCT
50,8,PROPN
16,1,PUNCT
2660,8,ADV
7,9,ADP
47,7,NOUN
2661,4,NUM
10,12,PUNCT
768,8,NOUN
2662,4,PROPN
775,1,VERB
1774,6,ADP
2663,7,NOUN
115,4,PROPN
2664,1,PROPN
16,1,PUNCT
2665,8,PROPN
491,1,NOUN
36,4,DET
2666,3,VERB
709,6,NOUN
2667,4,NOUN
2668,4,PROPN
5,1,PRON
2669,5,ADJ
27,13,CCONJ
2670,10,ADJ
24,13,ADP
2671,7,NOUN
2667,4,PROPN
172,1,PUNCT
2672,8,PROPN
355,1,ADP
2673,7,NOUN
10,4,PUNCT
2674,8,NOUN
27,4,CCONJ
2675,10,NOUN
172,4,PUNCT
2675,8,NOUN
16,4,PUNCT
914,8,ADP
107,7,DET
10,3,PUNCT
2676,8,NOUN
199,4,ADP
2677,7,NOUN
2678,4,VERB
24,6,ADP
2679,7,NOUN
5,4,PRON
871,5,ADV
2680,9,VERB
46,6,ADP
1488,7,NOUN
2677,4,NOUN
2331,4,NOUN
2681,4,VERB
16,6,PUNCT
613,8,ADP
7,7,ADP
2682,7,PROPN
10,1,PUNCT
2683,8,PROPN
118,1,ADV
2684,9,VERB
2685,6,NOUN
337,4,ADJ
202,13,SCONJ
1537,11,VERB
7,6,ADP
2686,7,NOUN
2687,4,PROPN
2688,1,PROPN
888,1,ADP
2689,7,PROPN
2690,1,PROPN
27,1,CCONJ
2691,10,PROPN
2692,1,PROPN
7,1,ADP
1629,7,NOUN
2693,4,PROPN
16,1,PUNCT
279,8,NOUN
5,4,PRON
308,5,ADV
21,9,VERB
68,6,NOUN
36,4,DET
284,3,PUNCT
2694,8,ADV
111,9,ADP
2695,7,NOUN
601,4,PROPN
10,1,PUNCT
643,8,SCONJ
2696,11,NOUN
601,4,PROPN
7,1,ADP
1185,7,PROPN
1186,1,PROPN
2,1,AUX
2697,2,NOUN
10,4,PUNCT
1219,8,SCONJ
379,11,PROPN
2698,1,PROPN
1888,1,PROPN
36,1,DET
852,3,VERB
75,6,ADP
2301,7,PROPN
2699,1,PROPN
2089,1,PRON
264,5,VERB
2700,6,NOUN
902,4,NOUN
7,4,ADP
401,7,PROPN
2701,1,PROPN
54,1,ADP
202,7,NOUN
36,4,DET
2,3,AUX
902,2,NOUN
941,4,NOUN
2702,4,VERB
2701,6,PROPN
132,1,PUNCT
2703,8,PROPN
318,1,PROPN
135,1,PUNCT
172,8,PUNCT
2704,8,NOUN
2705,4,NOUN
132,4,PUNCT
2706,8,PROPN
300,1,SYM
2706,15,PROPN
1888,1,PROPN
135,1,PUNCT
27,8,CCONJ
2707,10,PROPN
132,1,PUNCT
2708,8,PROPN
135,1,PUNCT
172,8,PUNCT
2709,8,PROPN
2710,1,PROPN
132,1,PUNCT
2706,8,PROPN
1888,1,PROPN
135,1,PUNCT
5,8,PRON
2711,5,VERB
38,6,ADP
1314,7,NOUN
1861,4,NOUN
2712,4,NOUN
1140,4,PROPN
1654,1,PROPN
2713,1,PROPN
2714,1,PROPN
132,1,PUNCT
2715,8,PROPN
135,1,PUNCT
16,8,PUNCT
56,8,ADP
2716,7,NOUN
2717,4,NOUN
10,4,PUNCT
4,8,NOUN
2718,4,NOUN
196,4,VERB
4,6,NOUN
24,4,ADP
2719,7,NOUN
1224,4,NOUN
5,4,PRON
217,5,ADJ
16,13,PUNCT
484,8,ADP
84,7,NOUN
72,4,NOUN
2720,4,NOUN
852,4,VERB
2721,6,PROPN
2033,1,VERB
2722,6,NOUN
818,4,VERB
1530,6,NOUN
2723,4,VERB
2724,6,NUM
24,12,ADP
2725,7,NOUN
2726,4,PROPN
15,1,PROPN
7,1,ADP
2727,7,ADP
172,7,PUNCT
2728,8,ADP
16,7,PUNCT
1038,8,SCONJ
748,11,NOUN
2729,4,VERB
24,6,ADP
2730,7,PROPN
27,1,CCONJ
2731,10,PROPN
27,1,CCONJ
888,10,ADV
172,9,PUNCT
889,8,ADV
2732,9,VERB
2733,6,ADJ
7,13,ADP
2734,7,NOUN
2735,4,PROPN
2736,1,PROPN
16,1,PUNCT
292,8,NOUN
727,4,NOUN
1536,4,ADV
2737,9,VERB
581,6,NOUN
587,4,NOUN
5,4,PRON
